Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login berhasil,Chrome 126.0.0.0,,,24-06-2024 14:48:34,24-06-2024 14:48:50,15.516s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,24-06-2024 14:48:35,24-06-2024 14:48:46,11.052s,PASSED
"openBrowser(""http://206.189.158.91:8080/sparepart-factory-cms/login.zul"")",Chrome 126.0.0.0,,,24-06-2024 14:48:35,24-06-2024 14:48:43,7.883s,PASSED
"setText(findTestObject(""login mascot/1. input username""), ""sadm001"")",Chrome 126.0.0.0,,,24-06-2024 14:48:43,24-06-2024 14:48:44,1.077s,PASSED
"setText(findTestObject(""login mascot/2. input password""), ""Abc123!"")",Chrome 126.0.0.0,,,24-06-2024 14:48:44,24-06-2024 14:48:45,0.883s,PASSED
"click(findTestObject(""login mascot/3. klik button login""))",Chrome 126.0.0.0,,,24-06-2024 14:48:45,24-06-2024 14:48:46,0.580s,PASSED
,,,,,,,
Test Cases/Dashboard CMS/list dashboard,Chrome 126.0.0.0,,,24-06-2024 14:48:46,24-06-2024 14:48:50,3.994s,PASSED
"click(findTestObject(""Dashboard CMS/list dashboard""))",Chrome 126.0.0.0,,,24-06-2024 14:48:46,24-06-2024 14:48:49,2.898s,PASSED
"click(findTestObject(""Dashboard CMS/list dashboard""))",Chrome 126.0.0.0,,,24-06-2024 14:48:49,24-06-2024 14:48:50,0.694s,PASSED
