Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
master area 1,Chrome 126.0.0.0,,,25-06-2024 15:05:09,25-06-2024 15:05:34,24.488s,PASSED
,,,,,,,
Test Cases/login mascot/login,Chrome 126.0.0.0,,,25-06-2024 15:05:10,25-06-2024 15:05:18,8.110s,PASSED
"openBrowser(""http://206.189.158.91:8080/sparepart-factory-cms/login.zul"")",Chrome 126.0.0.0,,,25-06-2024 15:05:10,25-06-2024 15:05:16,5.775s,PASSED
"setText(findTestObject(""login mascot/1. input username""), ""sadm001"")",Chrome 126.0.0.0,,,25-06-2024 15:05:16,25-06-2024 15:05:16,0.775s,PASSED
"setText(findTestObject(""login mascot/2. input password""), ""Abc123!"")",Chrome 126.0.0.0,,,25-06-2024 15:05:16,25-06-2024 15:05:17,0.678s,PASSED
"click(findTestObject(""login mascot/3. klik button login""))",Chrome 126.0.0.0,,,25-06-2024 15:05:17,25-06-2024 15:05:18,0.589s,PASSED
,,,,,,,
Test Cases/User Management - Master Area 1/Open Master Area 1,Chrome 126.0.0.0,,,25-06-2024 15:05:18,25-06-2024 15:05:34,16.189s,PASSED
"openBrowser(""http://206.189.158.91:8080/sparepart-factory-cms/login.zul"")",Chrome 126.0.0.0,,,25-06-2024 15:05:18,25-06-2024 15:05:21,2.825s,PASSED
"setText(findTestObject(""login mascot/1. input username""), ""sadm001"")",Chrome 126.0.0.0,,,25-06-2024 15:05:21,25-06-2024 15:05:21,0.702s,PASSED
"setText(findTestObject(""login mascot/2. input password""), ""Abc123!"")",Chrome 126.0.0.0,,,25-06-2024 15:05:21,25-06-2024 15:05:22,0.670s,PASSED
"click(findTestObject(""login mascot/3. klik button login""))",Chrome 126.0.0.0,,,25-06-2024 15:05:22,25-06-2024 15:05:22,0.439s,PASSED
delay(3),Chrome 126.0.0.0,,,25-06-2024 15:05:22,25-06-2024 15:05:25,3.043s,PASSED
"click(findTestObject(""User Management - Master Area 1/Open Master Area 1""))",Chrome 126.0.0.0,,,25-06-2024 15:05:25,25-06-2024 15:05:26,0.385s,PASSED
delay(8),Chrome 126.0.0.0,,,25-06-2024 15:05:26,25-06-2024 15:05:34,8.012s,PASSED
