Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search Wikipedia,Chrome 126.0.0.0,,,26-06-2024 10:04:35,26-06-2024 10:04:58,22.364s,PASSED
,,,,,,,
Test Cases/Wikipedia/Wikipedia search,Chrome 126.0.0.0,,,26-06-2024 10:04:35,26-06-2024 10:04:58,22.041s,PASSED
"openBrowser(""https://www.wikipedia.org/"")",Chrome 126.0.0.0,,,26-06-2024 10:04:36,26-06-2024 10:04:48,11.829s,PASSED
delay(2),Chrome 126.0.0.0,,,26-06-2024 10:04:48,26-06-2024 10:04:50,2.053s,PASSED
"setText(findTestObject(""Wikipedia/search box wikipedia""), ""bob marley"")",Chrome 126.0.0.0,,,26-06-2024 10:04:50,26-06-2024 10:04:51,0.897s,PASSED
delay(2),Chrome 126.0.0.0,,,26-06-2024 10:04:51,26-06-2024 10:04:53,2.018s,PASSED
"click(findTestObject(""Wikipedia/button search wikipedia""))",Chrome 126.0.0.0,,,26-06-2024 10:04:53,26-06-2024 10:04:55,2.041s,PASSED
delay(2),Chrome 126.0.0.0,,,26-06-2024 10:04:55,26-06-2024 10:04:57,2.007s,PASSED
"takeScreenshotAsCheckpoint(""capture search bob marley"")",Chrome 126.0.0.0,,,26-06-2024 10:04:57,26-06-2024 10:04:58,0.843s,PASSED
